ObjectID,GlobalID,Informed Consent,start_time,end_time,What gender do you identify as?,Which category below includes your age?,How long does a football match take?,Which team won the last FIFA World Cup?,"From the image above, what is the lineup of the teams?",What is the formation of the red team?,"When the blue team has possession of the ball, how would you describe the positioning of the defenders from the red team?",What was the role of player #2 in the red team?,"Ideally, a defender should be positioned between the goal and the attacker. Based on your observations, the player #2 from the red team is:",What is the formation of the red team?,When does a team cover a larger area of the pitch?,In what situations do a team's players get close to each other?,What is the formation of the red team?,When does a team cover a larger area of the pitch?,What is the formation of the red team?,"When the blue team has possession of the ball, how would you describe the positioning of the defenders from the red team?",What was the role of player #2 in the red team?,"Ideally, a defender should be positioned between the goal and the attacker. Based on your observations, the player #2 from the red team is:",What is the formation of the red team?,When does a team cover a larger area of the pitch?,In what situations do a team's players get close to each other?,What is the formation of the red team?,When does a team cover a larger area of the pitch?,CreationDate,Creator,EditDate,Editor,x,y
82,fccbaaea-ad80-413a-8817-1012e14d0e29,Yes,8/6/2023 10:24:12 PM,8/6/2023 10:39:48 PM,Male,21-25,g1_a,g2_b,g3_a,a,c,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,8/6/2023 10:39:50 PM,,8/6/2023 10:39:50 PM,,0,0
83,af4da1a0-6c1d-4f21-8b74-0e0cefa4760d,Yes,8/6/2023 11:53:03 PM,8/6/2023 11:58:58 PM,Non-binary,60_or_older,g1_c,g2_c,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,8/6/2023 11:58:59 PM,,8/6/2023 11:58:59 PM,,0,0
84,52933eab-3d9b-49c8-8e98-ea1165fbddc8,Yes,8/7/2023 8:04:16 AM,8/7/2023 12:52:32 PM,Male,31-35,g1_a,g2_b,g3_a,b,c,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,8/7/2023 12:52:08 PM,,8/7/2023 12:52:08 PM,,0,0
85,855c0f94-cb78-482c-8c8e-c6e033728f0b,Yes,8/7/2023 11:41:07 AM,8/7/2023 1:07:15 PM,Female,21-25,g1_a,g2_c,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,8/7/2023 1:07:16 PM,,8/7/2023 1:07:16 PM,,0,0
86,258e4c74-4f52-4467-8e45-94a9f7d8930d,Yes,8/7/2023 4:49:13 PM,8/7/2023 5:00:20 PM,Male,26-30,g1_a,g2_b,g3_c,d,c,a,a,c,b,a,c,a,c,a,a,a,c,b,a,a,a,8/7/2023 5:00:21 PM,,8/7/2023 5:00:21 PM,,0,0
87,f27c7717-bd96-4a0c-843c-2ba17e24a723,Yes,8/8/2023 11:02:28 AM,8/8/2023 11:10:14 AM,Male,26-30,g1_a,g2_c,g3_a,b,c,a,a,d,b,a,a,a,b,c,a,a,c,b,a,a,a,8/8/2023 11:10:14 AM,,8/8/2023 11:10:14 AM,,0,0
88,b84fc243-8b5b-4485-849f-69a76c6befe2,Yes,8/8/2023 11:26:09 AM,8/8/2023 11:31:14 AM,Female,26-30,g1_a,g2_c,g3_a,a,a,a,a,d,b,a,b,a,a,a,a,a,c,b,a,a,a,8/8/2023 11:31:15 AM,,8/8/2023 11:31:15 AM,,0,0
89,0ee946ea-27f3-4bb2-8827-407a534a6cf9,Yes,8/8/2023 1:30:56 PM,8/8/2023 1:39:38 PM,Male,21-25,g1_a,g2_a,g3_c,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,8/8/2023 1:39:39 PM,,8/8/2023 1:39:39 PM,,0,0
90,4fb99246-52e8-487d-8b39-4f8ca2cf0a56,Yes,8/8/2023 2:02:52 PM,8/8/2023 2:12:28 PM,Female,26-30,g1_a,g2_b,g3_c,b,c,a,a,c,a,a,a,a,b,a,a,a,c,b,a,a,a,8/8/2023 2:12:29 PM,,8/8/2023 2:12:29 PM,,0,0
91,e39d6c94-e510-4111-813a-1d3f1bbcc807,Yes,8/9/2023 8:50:17 AM,8/9/2023 8:54:55 AM,Female,26-30,g1_a,g2_b,g3_a,a,c,a,a,c,b,a,a,b,b,c,a,a,c,a,a,a,b,8/9/2023 8:54:56 AM,,8/9/2023 8:54:56 AM,,0,0
92,23229279-11b8-4fad-82dc-b73c87cade17,Yes,8/10/2023 7:27:13 AM,8/10/2023 7:31:54 AM,not_say,36-40,g1_a,g2_b,g3_a,b,c,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,8/10/2023 7:31:53 AM,,8/10/2023 7:31:53 AM,,0,0
93,5458ff93-585a-4fde-8ef3-fc25ac8b51d4,Yes,8/10/2023 7:26:00 AM,8/10/2023 7:33:59 AM,Male,31-35,g1_a,g2_b,g3_a,b,c,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,8/10/2023 7:34:00 AM,,8/10/2023 7:34:00 AM,,0,0
94,ecb022e2-a77a-440e-8868-40e7678fd5f1,Yes,8/10/2023 8:13:34 AM,8/10/2023 8:20:35 AM,Male,31-35,g1_a,g2_b,g3_a,b,c,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,8/10/2023 8:20:36 AM,,8/10/2023 8:20:36 AM,,0,0
95,9888d04a-267e-4e2f-850d-cb0e66f1eaaf,Yes,8/10/2023 12:55:25 PM,8/10/2023 1:06:31 PM,Male,60_or_older,g1_a,g2_b,g3_a,c,b,a,a,c,b,a,a,a,c,b,a,a,c,a,a,c,a,8/10/2023 1:06:32 PM,,8/10/2023 1:06:32 PM,,0,0
96,d733ead5-e169-4eff-834b-2c0572e571f4,Yes,8/10/2023 9:16:00 PM,8/10/2023 9:28:05 PM,Female,26-30,g1_a,g2_c,g3_a,b,a,a,a,c,a,b,a,a,b,a,a,a,c,b,a,a,a,8/10/2023 9:28:07 PM,,8/10/2023 9:28:07 PM,,0,0
97,6ed2965a-2a55-4e8b-8e2e-a270591b48b3,Yes,8/11/2023 1:20:17 PM,8/11/2023 1:28:25 PM,Male,26-30,g1_a,g2_b,g3_a,b,b,a,a,c,b,a,a,a,a,a,a,d,c,b,a,a,a,8/11/2023 1:28:26 PM,,8/11/2023 1:28:26 PM,,0,0
98,fe53d78c-76de-4f71-886a-e2c10a658129,Yes,8/11/2023 1:17:39 PM,8/11/2023 1:32:51 PM,Female,31-35,g1_a,g2_b,g3_c,a,c,a,a,c,b,a,b,a,b,c,a,a,c,b,a,b,a,8/11/2023 1:32:53 PM,,8/11/2023 1:32:53 PM,,0,0
99,cfe5835c-3837-4a42-8b2a-5cd3b39d7bda,Yes,8/11/2023 7:28:38 PM,8/11/2023 7:43:36 PM,Female,26-30,g1_a,g2_c,g3_c,b,a,a,a,c,b,b,a,a,b,a,a,a,c,b,a,a,a,8/11/2023 7:43:37 PM,,8/11/2023 7:43:37 PM,,0,0
100,d133eaee-f308-488d-835f-f2a2079d070f,Yes,8/12/2023 11:05:48 AM,8/12/2023 11:18:57 AM,Female,26-30,g1_a,g2_b,g3_a,a,c,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,8/12/2023 11:18:58 AM,,8/12/2023 11:18:58 AM,,0,0
101,c1e91cfc-144e-49ec-836b-44d36ddaeee0,Yes,8/14/2023 3:54:43 PM,8/14/2023 4:02:50 PM,Non-binary,26-30,g1_a,g2_b,g3_c,d,b,a,a,c,b,a,c,a,d,a,a,a,c,b,a,d,a,8/14/2023 4:02:53 PM,,8/14/2023 4:02:53 PM,,0,0
102,df6d71d8-36ff-4c2c-8c79-d9a9c02173b7,Yes,8/14/2023 4:00:27 PM,8/14/2023 4:07:13 PM,Female,21-25,g1_a,g2_b,g3_a,b,c,a,a,c,b,a,a,b,b,c,a,a,c,b,a,a,a,8/14/2023 4:07:14 PM,,8/14/2023 4:07:14 PM,,0,0
103,45b76cfd-40be-48b0-8f60-c9b4dc5a0087,Yes,8/14/2023 3:54:10 PM,8/14/2023 4:15:01 PM,Male,26-30,g1_a,g2_b,g3_b,b,b,a,a,c,b,c,a,a,b,a,a,a,c,b,a,a,a,8/14/2023 4:15:02 PM,,8/14/2023 4:15:02 PM,,0,0
104,5e570aec-8ff9-44dd-89b1-b34a590e7d2f,Yes,8/14/2023 9:08:40 PM,8/14/2023 9:27:39 PM,Male,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,8/14/2023 9:27:40 PM,,8/14/2023 9:27:40 PM,,0,0
105,a0fa3791-5a32-4aeb-80fe-feb68c00a1ab,Yes,8/21/2023 7:36:52 PM,8/21/2023 7:48:08 PM,Female,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,8/21/2023 7:48:10 PM,,8/21/2023 7:48:10 PM,,0,0
106,6f1c96ea-5ab7-4a6d-81f6-24a88db9a96d,Yes,8/3/2023 8:53:53 PM,8/23/2023 1:06:25 PM,Male,21-25,g1_a,g2_b,g3_c,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,8/23/2023 1:06:26 PM,,8/23/2023 1:06:26 PM,,0,0
107,a982c2e2-c292-45f7-86b8-8cbb6bf28d3f,Yes,8/24/2023 9:59:56 AM,8/24/2023 10:25:33 AM,Female,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,8/24/2023 10:25:36 AM,,8/24/2023 10:25:36 AM,,0,0
108,df89a5cb-d637-4425-815d-50cd076adfbc,Yes,8/28/2023 4:33:55 PM,8/28/2023 4:43:57 PM,Male,26-30,g1_a,g2_b,g3_a,b,c,a,a,d,b,a,a,c,d,c,a,a,c,b,a,a,a,8/28/2023 4:43:58 PM,,8/28/2023 4:43:58 PM,,0,0
109,1d287aad-f179-40c2-8b6a-7d4c8abbf39a,Yes,9/1/2023 8:13:25 AM,9/1/2023 8:26:41 AM,Female,31-35,g1_a,g2_b,g3_c,c,c,a,a,c,c,a,a,b,b,a,a,a,c,a,a,c,a,9/1/2023 8:26:42 AM,,9/1/2023 8:26:42 AM,,0,0
